long_label	short_label
CTnDOT_ERL_orf3.txt	orf3
CTnDOT_ERL_orf4.txt	orf4
CTnDOT_ERL_orf5.txt	orf5
CTnDOT_ERL_orf6.txt	orf6
CTnDOT_ERL_orf7.txt	orf7
CTnDOT_ERL_orf8.txt	orf8
CTnDOT_ERL_orf9.txt	orf9
CTnDOT_ERL_orf10.txt	orf10
CTnDOT_ERL_orf11.txt	orf11
CTnDOT_ERL_orf12.txt	orf12
CTnDOT_ERL_orf13.txt	orf13
CTnDOT_ERL_orf14.txt	orf14
CTnDOT_ERL_orf15.txt	orf15
CTnDOT_ERL_orf16.txt	orf16
CTnDOT_ERL_orf17.txt	orf17
CTnDOT_ERL_orf18.txt	orf18
CTnDOT_ERL_orf19.txt	orf19
CTnDOT_ERL_orf_mobA.txt	mobA
CTnDOT_ERL_orf_mobB.txt	mobB
CTnDOT_ERL_orf_mobC.txt	mobC
ICE10270_RD.1_orf11.txt	orf11
ICE10270_RD.1_orf13.txt	orf13
ICE10270_RD.1_orf14.txt	orf14
ICE10270_RD.1_orf17.txt	orf17
ICE10270_RD.1_orf19.txt	orf19
ICE10270_RD.1_orf20.txt	orf20
ICE10270_RD.2_orf9.txt	orf9
ICE10270_RD.2_orf10.txt	orf10
ICE10270_RD.2_orf11.txt	orf11
ICE10270_RD.2_orf12.txt	orf12
ICE10270_RD.2_orf13.txt	orf13
ICE10270_RD.2_orf14.txt	orf14
ICE10270_RD.2_orf15.txt	orf15
ICE10270_RD.2_orf16.txt	orf16
ICE10270_RD.2_orf17.txt	orf17
ICE10270_RD.2_orf18.txt	orf18
ICE10270_RD.2_orf19.txt	orf19
ICE10270_RD.2_orf20.txt	orf20
ICE10270_RD.2_orf21.txt	orf21
ICE10270_RD.2_orf22.txt	orf22
ICE10270_RD.2_orf23.txt	orf23
ICE10270_RD.2_orf24.txt	orf24
ICE10270_RD.2_orf25.txt	orf25
ICE10270_RD.2_orf26.txt	orf26
ICE10270_RD.2_orf27.txt	orf27
ICE10270_RD.2_orf28.txt	orf28
ICE6013_orf11.txt	orf11
ICE6013_orf12.txt	orf12
ICE6013_orf13.txt	orf13
ICE6013_orf14.txt	orf14
ICE6013_orf15.txt	orf15
ICE6013_orf16.txt	orf16
ICE6013_orf17.txt	orf17
ICE6013_orf18.txt	orf18
ICEA5632_orf6.txt	orf6
ICEA5632_orf7.txt	orf7
ICEA5632_orf8.txt	orf8
ICEA5632_orf9.txt	orf9
ICEA5632_orf10.txt	orf10
ICEA5632_orf11.txt	orf11
ICEA5632_orf12.txt	orf12
ICEA5632_orf13.txt	orf13
ICEA5632_orf14.txt	orf14
ICEA5632_orf16.txt	orf16
ICEA5632_orf17.txt	orf17
ICEA5632_orf18.txt	orf18
ICEA5632_orf19.txt	orf19
ICEA5632_orf20.txt	orf20
