element	hmm_name	index
Integrase	Phage_integrase	0
Integrase	Pfam-B_1819	0
Integrase	Recombinase	0
Integrase	DDE_Tnp_Tn3	0
Integrase	rve	0
Integrase	Phage_int_SAM_4	0
Replication	RepSAv2	6
Replication	DUF3631	6
Replication	Prim-Pol	6
T4SS ATPase	AAA_10	1
T4SS ATPase	TraC_F_IV	1
T4SS ATPase	CagE_TrbE_VirB	1
T4CP	TrwB_AAD_bind	2
T4CP	T4SS-DNA_transf	2
T4CP	TraG-D_C	2
T4CP	TraD_N	2
T4CP	FtsK_SpoIIIE	2
Relaxase	MobC	3
Relaxase	Pfam-B_6973	3
Relaxase	Replic_Relax	3
Relaxase	TrwC	3
Relaxase	TraI	3
Relaxase	TraI_2	3
Relaxase	Relaxase	3
Relaxase	MobA_MobL	3
Relaxase	Mob_Pre	3
Relaxase	Rep_trans	3
Relaxase	Pfam-B_4801	3
Relaxase	MOBL	3
Relaxase	MobL_Pfam	3
Relaxase	Rep_OBD	3
Relaxase	Viral_Rep	3
Relaxase	PHA00330	3
T4SS	TraE	4
T4SS	TraH	4
T4SS	TraK	4
T4SS	TraL	4
T4SS	TraN	4
T4SS	TraU	4
T4SS	TraV	4
T4SS	Pfam-B_1474	4
T4SS	TrbC_Ftype	4
T4SS	Pfam-B_1110	4
T4SS	DUF2895	4
T4SS	Pfam-B_1690	4
T4SS	Pfam-B_724	4
T4SS	Pfam-B_2070	4
T4SS	traK_tpyeI	4
T4SS	traL_tpyeI	4
T4SS	IcmL	4
T4SS	DUF3625	4
T4SS	DUF1525	4
T4SS	DUF2976	4
T4SS	DUF3438	4
T4SS	DUF3487	4
T4SS	DUF4400	4
T4SS	Plasmid_RAQPRD	4
T4SS	T2SSE	4
T4SS	T4SS	4
T4SS	Tra_M	4
T4SS	TraA	4
T4SS	TraF	4
T4SS	TraG_N	4
T4SS	TraQ	4
T4SS	TraW_N	4
T4SS	TraX	4
T4SS	TraY	4
T4SS	TrbC	4
T4SS	TrbH	4
T4SS	TrbI	4
T4SS	traP_tpyeI	4
T4SS	traQ_tpyeI	4
T4SS	Pfam-B_13874	4
T4SS	Pfam-B_3616	4
T4SS	Pfam-B_706	4
T4SS	VirB3	4
T4SS	TrbL	4
T4SS	VirB8	4
T4SS	CagX	4
-	notfound	7
