SARG.Seq.ID	New.Subtype	New.New.Subtype	New.Type	Family	subfamily	subfamily2	Seq.ID.in.CARD (need to redo)	
gb|AAO47226.2|ARO:3003318|Streptomyces	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	Streptomyces rishiriensis parY mutant conferring resistance to aminocoumarin	aminocoumarin	mutation			gb|AAO47226.2|ARO:3003318|Streptomyces	
L06156.1.gene1.p01	AAC(2')-Ia	AAC(2')-Ia	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')	gb|AAA03550.1|ARO:3002523|AAC(2')-Ia	
U41471.1.gene1.p01	AAC(2')-Ib	AAC(2')-Ib	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')	gb|AAC44793.1|ARO:3002524|AAC(2')-Ib	
YP_001848841	AAC(2')-Ic	AAC(2')-Ic	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')		
YP_905232	AAC(2')-Ic	AAC(2')-Ic	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')		
AE000516.2.gene277.p01	AAC(2')-Ic	AAC(2')-Ic	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')	gb|CCP42991.1|ARO:3002525|AAC(2')-Ic	
U72743.1.gene1.p01	AAC(2')-Id	AAC(2')-Id	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')	gb|AAB41701.1|ARO:3002526|AAC(2')-Id	
gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	AAC(2')-Ie	AAC(2')-Ie	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')	gb|CAC32082.1|ARO:3002527|AAC(2')-Ie	
gb|BAM16262.1|ARO:3004628|AAC(2')-IIa	AAC(2')-IIa	AAC(2')-IIa	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')	gb|BAM16262.1|ARO:3004628|AAC(2')-IIa	
gb|APB03221.1|ARO:3003988|AAC(2')-IIb	AAC(2')-IIb	AAC(2')-IIb	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(2')	gb|APB03221.1|ARO:3003988|AAC(2')-IIb	
AAB20441	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
AAC77497	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
AAK12088	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
AAN41440	AAC(3)-Ia	AAC(3)-I	aminoglycoside	Enzymatic inactivation	Acetyltransferases	AAC(3)		
